年月,省份,城市,城市代码,平均气温,省平均温度
202001,安徽省,亳州市,341600,3.02844282104,16.3024681957473
202002,安徽省,亳州市,341600,6.86439001029,
202003,安徽省,亳州市,341600,11.2496889439,
202004,安徽省,亳州市,341600,15.3109415919,
202005,安徽省,亳州市,341600,22.9601271432,
202006,安徽省,亳州市,341600,26.1408464494,
202007,安徽省,亳州市,341600,25.3788700915,
202008,安徽省,亳州市,341600,28.5504561243,
202009,安徽省,亳州市,341600,23.4285837745,
202010,安徽省,亳州市,341600,16.076162761,
202011,安徽省,亳州市,341600,10.8285776092,
202012,安徽省,亳州市,341600,2.49651271805,
202001,安徽省,六安市,341500,3.95075238299,
202002,安徽省,六安市,341500,8.15664049088,
202003,安徽省,六安市,341500,12.4279087637,
202004,安徽省,六安市,341500,16.3618593081,
202005,安徽省,六安市,341500,23.5675397408,
202006,安徽省,六安市,341500,25.9163196011,
202007,安徽省,六安市,341500,25.4806808903,
202008,安徽省,六安市,341500,29.1739489642,
202009,安徽省,六安市,341500,23.1798540324,
202010,安徽省,六安市,341500,16.5354716489,
202011,安徽省,六安市,341500,11.9396934588,
202012,安徽省,六安市,341500,4.21084016681,
202001,安徽省,合肥市,340100,4.023726628,
202002,安徽省,合肥市,340100,7.84401490587,
202003,安徽省,合肥市,340100,12.0940059605,
202004,安徽省,合肥市,340100,15.8691480912,
202005,安徽省,合肥市,340100,23.1646487178,
202006,安徽省,合肥市,340100,25.6545140762,
202007,安徽省,合肥市,340100,25.247376683,
202008,安徽省,合肥市,340100,29.2422058399,
202009,安徽省,合肥市,340100,23.2597923039,
202010,安徽省,合肥市,340100,16.731730774,
202011,安徽省,合肥市,340100,12.0688277803,
202012,安徽省,合肥市,340100,4.06748937737,
202001,安徽省,安庆市,340800,4.55110970233,
202002,安徽省,安庆市,340800,8.24878595893,
202003,安徽省,安庆市,340800,12.1409316733,
202004,安徽省,安庆市,340800,15.8569571221,
202005,安徽省,安庆市,340800,22.7276233241,
202006,安徽省,安庆市,340800,25.3360483422,
202007,安徽省,安庆市,340800,25.4995349244,
202008,安徽省,安庆市,340800,28.475913135,
202009,安徽省,安庆市,340800,22.1192093832,
202010,安徽省,安庆市,340800,16.6931101694,
202011,安徽省,安庆市,340800,12.4606124441,
202012,安徽省,安庆市,340800,4.75734589955,
202001,安徽省,宣城市,341800,5.04407751973,
202002,安徽省,宣城市,341800,7.88793142469,
202003,安徽省,宣城市,341800,11.588858167,
202004,安徽省,宣城市,341800,14.9865285945,
202005,安徽省,宣城市,341800,22.0584319409,
202006,安徽省,宣城市,341800,24.7851720996,
202007,安徽省,宣城市,341800,24.978339277,
202008,安徽省,宣城市,341800,28.7734267013,
202009,安徽省,宣城市,341800,22.0788971535,
202010,安徽省,宣城市,341800,16.8619124649,
202011,安徽省,宣城市,341800,12.5974509748,
202012,安徽省,宣城市,341800,4.7474781161,
202001,安徽省,宿州市,341300,2.99858517182,
202002,安徽省,宿州市,341300,6.34711982232,
